planning_area,english,mandarin,chinese_dialects,malay,tamil,other_indian_languages,others,eng_mand,eng_chn_dlt,eng_mly,eng_oth_ind_lang,eng_oth_lang,mand_eng,mand_chn_dlt,mand_oth_lang,chn_dlt_eng,chn_dlt_mand,chn_dlt_oth_lang,mly_eng,mly_oth_lang,tml_eng,tml_oth_lang,oth_ind_lang_eng,oth_ind_lang_oth_lang,oth_lang_eng,oth_ind_lang_oth_lang,oth_lang_oth_non_eng_lang,eng_tml
Changi Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choa Chu Kang,33094.25,48765.5,15200.5,18748.0,3935.5,1449.0,1162.0,11564.0,947.5,3846.5,409.75,525.5,7469.75,4006.25,42.0,376.25,1681.5,93.25,4318.0,26.0,1073.0,56.75,213.0,70.0,231.75,70.0,61.0,1529.25
Clementi,20472.5,19498.75,11695.25,7082.25,2053.5,523.0,751.0,6290.75,973.0,820.25,168.5,288.25,2685.0,1494.25,32.5,401.75,1027.75,85.0,980.25,24.0,387.75,19.5,126.75,10.5,139.5,10.5,53.25,351.0
Downtown Core,411.25,702.25,631.5,28.5,43.0,23.5,21.0,168.75,23.25,21.75,9.25,29.0,59.25,20.25,0.0,13.75,22.0,0.0,1.25,0.0,0.0,0.0,3.25,0.0,9.0,0.0,0.0,3.5
Geylang,19995.75,28675.5,17260.5,11060.25,2235.25,793.5,523.5,5775.0,765.5,1278.25,267.25,217.25,3250.25,2320.25,42.0,368.5,1396.0,109.5,1616.5,28.25,438.75,23.0,136.75,19.5,108.5,19.5,56.75,275.5
Hougang,47739.75,63589.75,28135.25,11938.25,4162.25,1070.75,504.0,14602.75,1910.75,2043.75,381.0,317.0,7942.0,5210.0,67.5,590.75,2549.0,159.0,2401.25,21.5,1051.25,36.75,125.75,60.25,206.75,60.25,71.5,1345.5
Jurong East,14033.75,23888.0,10640.5,9944.0,3272.25,565.5,504.25,3527.0,572.25,1022.75,226.75,151.5,2594.75,1673.5,33.5,221.75,1119.0,95.5,1529.25,23.75,576.25,24.0,110.25,21.0,102.5,21.0,33.75,504.25
Jurong West,36357.5,81225.25,25143.75,29891.0,8834.75,1892.5,1811.0,12140.5,953.75,4344.25,502.5,504.25,10342.5,5944.0,138.0,576.0,2659.75,208.5,5422.25,35.25,1802.0,49.0,309.0,97.0,442.0,97.0,158.25,1536.0
Kallang,17795.25,22253.0,15560.5,4538.0,4005.0,1188.25,486.25,5503.0,760.75,540.5,715.0,258.25,2493.0,1982.0,19.75,341.0,1415.25,164.5,643.75,14.25,669.25,29.5,222.75,81.0,130.0,81.0,43.5,729.75
Lim Chu Kang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mandai,228.66666666666666,131.66666666666666,76.66666666666667,14.333333333333334,17.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marina East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marina South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marine Parade,15419.25,7144.75,4537.25,2084.5,446.25,829.75,146.25,3402.25,687.0,378.0,491.0,193.25,892.0,445.0,18.0,169.0,279.75,26.0,325.25,12.5,79.25,3.5,112.25,18.0,55.25,18.0,17.75,112.75
Museum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newton,1580.75,354.5,185.0,54.75,19.5,46.25,106.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North-Eastern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novena,15230.5,7960.0,5620.0,1051.5,897.25,275.25,247.0,3587.5,642.25,310.0,155.25,237.5,1144.5,516.25,19.75,186.0,434.75,44.25,171.0,2.5,174.5,8.75,55.25,15.25,94.75,15.25,22.75,189.0
Orchard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outram,2632.5,3861.5,4906.75,694.5,402.0,17.0,70.25,860.0,106.5,166.0,27.75,38.5,443.75,354.5,4.0,57.75,322.25,32.25,125.0,3.75,57.0,2.5,11.5,1.5,10.0,1.5,7.0,58.5
Pasir Ris,42295.0,26503.25,8542.75,15128.5,1370.75,526.25,517.75,10747.0,1527.75,4644.75,452.5,458.75,4265.0,1895.25,13.5,335.0,884.25,93.25,2964.25,11.25,286.5,21.25,154.0,24.75,208.75,24.75,37.25,599.25
Paya Lebar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pioneer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Punggol,22103.0,21263.333333333332,5988.333333333333,4977.0,1117.0,1105.6666666666667,288.0,17926.333333333332,1276.3333333333333,4430.666666666667,762.0,575.3333333333334,9243.666666666666,3111.3333333333335,106.33333333333333,494.0,1690.3333333333333,112.0,2967.3333333333335,31.333333333333332,470.0,17.666666666666668,234.66666666666666,50.333333333333336,160.33333333333334,50.333333333333336,43.333333333333336,906.6666666666666
Queenstown,22083.0,17867.5,16020.75,5766.0,2610.75,604.5,558.0,5699.25,1086.5,760.25,245.0,325.25,2384.25,1422.75,20.75,487.0,1245.25,132.75,748.0,16.25,338.5,34.75,73.75,22.0,110.0,22.0,82.25,348.5
River Valley,2511.75,610.5,540.25,59.25,9.25,53.25,104.5,676.75,137.5,67.25,188.75,161.5,171.75,31.0,10.5,35.75,31.75,2.75,13.75,0.0,5.75,0.0,8.5,0.0,50.25,0.0,28.5,30.0
Rochor,1166.5,2247.25,2165.0,142.0,763.5,111.5,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seletar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sembawang,12957.0,19261.5,5122.75,4857.0,1396.5,335.25,536.5,5643.0,518.25,1783.75,182.0,304.0,4652.0,2063.0,31.25,226.75,979.75,70.75,1959.5,17.5,464.0,28.25,103.5,36.5,215.25,36.5,35.5,838.25
Sengkang,34675.75,46216.75,13911.75,10209.75,3529.0,1195.0,531.5,17896.25,1408.5,3440.0,760.25,686.25,9615.0,4940.5,63.5,588.0,2167.5,182.75,3090.5,32.75,1328.5,19.5,407.25,90.25,289.0,90.25,41.0,1545.0
Serangoon,40859.25,27767.25,14084.5,4008.5,2691.75,810.25,431.25,9015.0,1647.25,752.25,212.5,205.75,3312.75,2193.5,34.25,476.75,1184.0,79.5,555.25,11.5,556.5,15.0,78.0,16.5,105.0,16.5,28.25,866.0
Simpang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore River,258.6666666666667,34.333333333333336,19.0,22.666666666666668,0.0,0.0,18.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Straits View,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sungei Kadut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tampines,59198.0,59794.25,24429.75,39196.5,3130.5,1736.5,1183.75,14098.25,1833.25,6009.5,892.25,387.5,7970.0,4520.5,81.0,679.5,2645.0,254.0,7421.5,41.75,680.25,15.0,390.0,104.75,207.0,104.75,42.5,906.0
Tanglin,8415.25,1130.25,949.75,164.5,29.5,141.5,316.0,1592.25,387.5,106.0,221.0,235.75,288.0,75.5,16.0,67.5,48.0,5.5,9.75,5.75,3.25,1.5,26.75,2.5,119.25,2.5,37.5,41.75
Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toa Payoh,26937.0,29078.25,19088.75,5886.25,2880.75,460.25,487.5,7926.5,1341.25,973.5,164.75,264.0,3734.5,1961.0,51.75,486.5,1552.75,118.25,961.0,23.5,481.5,19.75,61.75,21.25,148.0,21.25,62.75,487.75
Tuas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodlands,35988.75,67787.0,17704.25,35344.75,6374.0,1612.25,926.0,9579.5,886.25,6399.0,449.25,408.75,9925.5,5544.75,58.0,337.25,1825.25,113.0,8181.5,43.25,1615.5,100.0,383.25,105.0,262.25,105.0,69.5,1925.25
Yishun,32015.0,55286.5,21266.25,20493.25,5716.25,1500.25,718.5,10207.0,938.5,3785.0,469.5,470.75,8339.75,4639.5,58.75,571.0,2365.5,181.5,4906.5,51.5,1384.75,21.75,313.75,42.75,255.5,42.75,80.5,1680.75
