planning_area,no_literate,l1_chi,l1_eng,l1_mal,l1_tam,l1_non_off,l2_eng_chi,l2_eng_mal,l2_eng_tam,l2_other_two,l3_eng_chi_mal,l3_eng_mal_tam,l3_other_three,l2_eng_non_off
Straits View,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sungei Kadut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tampines,7279.75,28869.25,21374.75,4886.0,277.25,267.0,86390.25,46173.75,4320.25,469.0,3349.5,370.25,1926.25,4099.25
Tanglin,110.75,599.5,3890.75,1.0,2.0,47.5,5585.0,637.0,75.75,40.75,288.5,5.0,412.0,1084.25
Tengah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toa Payoh,6294.5,19427.0,13873.5,1191.5,433.25,149.25,44856.5,7428.75,3149.5,307.5,1964.5,290.0,663.0,1510.0
Tuas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Western Water Catchment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodlands,5716.75,30036.25,13867.25,4638.75,698.5,304.5,66753.5,40936.75,8495.0,814.0,6200.75,1049.0,1520.75,2751.25
Yishun,6585.75,28711.25,13581.0,3025.0,618.5,213.0,63973.0,25410.0,8220.75,628.25,3923.0,754.5,1031.0,2787.5
